assignment_id,redcap_data_access_group
BOMKUM05,pilot_and_qa_archi
CETRI8Y5,pilot_and_qa_archi
CWKYY707,pilot_and_qa_archi
CZ760MQA,pilot_and_qa_archi
DECL-C02-QA,pilot_and_qa_archi
DECL-QA01,pilot_and_qa_archi
E7QE1ZTZ,pilot_and_qa_archi
EJHI4CSS,pilot_and_qa_archi
HOGEI9B6,pilot_and_qa_archi
IUAV5KXR,pilot_and_qa_archi
JWBOOLU9,pilot_and_qa_archi
JXLDJ4MD,pilot_and_qa_archi
JZB2SYYJ,pilot_and_qa_archi
K2VX8Z0J,pilot_and_qa_archi
KIJTY4I2,pilot_and_qa_archi
LFCF4SB0,pilot_and_qa_archi
LIE1Q4ON,pilot_and_qa_archi
LK52TH6D,pilot_and_qa_archi
LUNLL1PM,pilot_and_qa_archi
MRXVIFS0,pilot_and_qa_archi
MWWCZ2K9,pilot_and_qa_archi
NYM05RZF,pilot_and_qa_archi
P73KCAK1,pilot_and_qa_archi
PROJ-C02-QA,pilot_and_qa_archi
PROJ-QA01,pilot_and_qa_archi
QA-C06-001,pilot_and_qa_archi
QE8NBIOF,pilot_and_qa_archi
QPRPEUV9,pilot_and_qa_archi
RUVIMSWN,pilot_and_qa_archi
UQWAIXY0,pilot_and_qa_archi
WLC16ZW3,pilot_and_qa_archi
X61GPVCC,pilot_and_qa_archi
XNKPQT8L,pilot_and_qa_archi
YXD4CMBD,pilot_and_qa_archi
Z13OS8JJ,pilot_and_qa_archi
