variable_name,instrument,participant_visible_purpose,contains_heading,heading_text,body_text,html_tags_used,whole_block_bold_present_before_correction,final_formatting_status,remaining_live_qa_requirement
owner_intro,owner_consent,Study introduction and voluntary-participation overview,yes,DEA Validation Study – Project Owner Review,"This personalised link was sent because you are named as a researcher on one or more projects in the UK Statistics Authority public register. Researchers directly involved in a project may have relevant context that is not visible in the public register entry. Participation is voluntary. After confirming that you are the intended recipient and agreeing to take part, your personalised list of projects will be displayed. You may review one, some, all or none of the listed projects, in any order. Please do not forward this personalised link and do not enter confidential, sensitive or otherwise non-public information. Each project review normally takes approximately 3–5 minutes. Your progress is saved and you may return using the same personalised link.",br | strong,no,audited_no_change,Confirm semantic HTML renders as recorded after dictionary import.
participant_info_link,owner_consent,Non-production placeholder for the approved Participant Information PDF,yes,Participant Information PDF — synthetic-QA placeholder (not for production),"[Attach or link the final approved, versioned Participant Information PDF here after approval.]",br | strong,no,corrected_semantic_html,Attach/link the final approved Participant Information PDF and verify rendering before production.
wrong_recipient_stop,owner_consent,Wrong-recipient termination message,no,,This personalised link is intended only for the researcher to whom it was sent. Please do not complete or forward it. No project reviews will be displayed.,,no,audited_no_change,Confirm semantic HTML renders as recorded after dictionary import.
consent_decline_stop,owner_consent,Consent-decline termination message,no,,"Thank you for considering the study. You have chosen not to take part, and no project reviews will be displayed. This will have no adverse consequences.",,no,audited_no_change,Confirm semantic HTML renders as recorded after dictionary import.
po_intro,project_review,Project Review overview and classification-dimension guidance,yes,Research Domains | Analytical Purposes | Cross-cutting tags,"This review shows a short definition beside each proposed classification. You do not need to learn the full classification framework before answering. A concise reference to all classifications is also available. You may complete all, some or none of your listed project reviews, in any order. Research Domains describe the main subjects of the project. A project may have several Research Domains where each is substantively part of the research. Judge each proposed Domain independently; the Domains are not ranked. Analytical Purposes describe what the project is trying to do analytically. More than one may apply, but the framework assigns no more than two to a project. Judge each proposed Purpose independently against the project's main analytical aims. The framework has two cross-cutting tags. Either, both or neither may apply. They indicate whether demographic or equality-group disparities, or COVID-19 and pandemic conditions, are a central focus or analytical lens rather than merely being mentioned.",br | strong,no,corrected_semantic_html,Confirm semantic HTML renders as recorded after dictionary import.
po_privacy,project_review,Confidentiality and non-public-information warning,yes,Important,"Do not enter confidential, sensitive, restricted, personally identifying or otherwise non-public information. Describe any relevant context only at a general level.",br | strong,no,corrected_semantic_html,Confirm semantic HTML renders as recorded after dictionary import.
po_taxonomy_ref,project_review,Non-production placeholder for the optional classification reference,yes,Optional classification reference — synthetic-QA placeholder (not for production),[Attach or link the final formatted owner-facing taxonomy reference PDF here after participant-document alignment.],br | strong,no,corrected_semantic_html,Attach/link the final formatted classification reference and verify rendering before production.
po_d01_display,project_review,Proposed Research Domain label and inline microdefinition,yes,[prop_d01_label],[prop_d01_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_d02_display,project_review,Proposed Research Domain label and inline microdefinition,yes,[prop_d02_label],[prop_d02_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_d03_display,project_review,Proposed Research Domain label and inline microdefinition,yes,[prop_d03_label],[prop_d03_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_d04_display,project_review,Proposed Research Domain label and inline microdefinition,yes,[prop_d04_label],[prop_d04_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_p01_display,project_review,Proposed Analytical Purpose label and inline microdefinition,yes,[prop_p01_label],[prop_p01_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_p02_display,project_review,Proposed Analytical Purpose label and inline microdefinition,yes,[prop_p02_label],[prop_p02_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_t01_display,project_review,Cross-cutting tag label and inline microdefinition,yes,[prop_t01_label],[prop_t01_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_t02_display,project_review,Cross-cutting tag label and inline microdefinition,yes,[prop_t02_label],[prop_t02_def],br | strong,no,audited_no_change,Verify piped canonical label is bold and piped microdefinition remains normal weight in live QA.
po_miss_purpose_guidance,project_review,Maximum-two Analytical Purposes selection guidance,no,,"The framework assigns a maximum of two Analytical Purposes to each project. Select only the most important missing purpose or purposes, taking account of any proposed purposes that you judged to fit. The resulting classification should contain no more than two purposes in total.",,no,audited_no_change,Confirm semantic HTML renders as recorded after dictionary import.
po_final_warning,project_review,Final confidentiality and non-public-information reminder,yes,Important,"Do not include confidential, sensitive, restricted, personally identifying or otherwise non-public information in comments.",br | strong,no,corrected_semantic_html,Confirm semantic HTML renders as recorded after dictionary import.
